variable LAYING SITTING STANDING WALKING WALKING_DOWNSTAIRS WALKING_UPSTAIRS
tBodyAcc-mean()-X 0.273636473638014 0.275383991049522 0.2718386039617 0.277404827952091 0.273569596795164 0.274443934305699
tBodyAcc-mean()-Y -0.0180112587744779 -0.0169773446010861 -0.0177184472291831 -0.018057210408806 -0.0181114639563424 -0.0176340667369014
tBodyAcc-mean()-Z -0.110396821159202 -0.107791257089707 -0.109241073096182 -0.108959141150232 -0.108614794633855 -0.108231153069883
tBodyAcc-std()-X -0.629791813045134 -0.624433202713692 -0.557763658524632 -0.611757401723635 -0.588869918835775 -0.635451801151166
tBodyAcc-std()-Y -0.52835806455948 -0.536415093220872 -0.420240864955147 -0.566082297451458 -0.519817104451202 -0.497077496845175
tBodyAcc-std()-Z -0.61645978679501 -0.604111323914446 -0.573972328955262 -0.627743934544379 -0.619171886465654 -0.645416829109586
tGravityAcc-mean()-X 0.603222169550412 0.700623413312324 0.696832804247639 0.658552995511034 0.684950816637269 0.679699954533679
tGravityAcc-mean()-Y 0.0333451240574074 -0.00618993760838492 -0.00163435026729801 0.0179509586900941 -0.0370311973015358 0.00779889236068653
tGravityAcc-mean()-Z 0.158974347861147 0.0215311072067136 0.062575028281244 0.130069500696616 0.111386049013547 0.0659963268084845
tGravityAcc-std()-X -0.958844100756173 -0.966552197248171 -0.960293518620672 -0.973512999076655 -0.962940854423898 -0.970536411392487
tGravityAcc-std()-Y -0.949099579664146 -0.956959155884074 -0.948468948227702 -0.961216048828688 -0.952373440165718 -0.959746991806995
tGravityAcc-std()-Z -0.929974456049383 -0.944011801194147 -0.929916878338405 -0.945403067288037 -0.937025478895448 -0.949804595534974
tBodyAccJerk-mean()-X 0.0800932757184156 0.0786338560254249 0.0797396674740661 0.0779153514194193 0.08010266215766 0.0769246401212403
tBodyAccJerk-mean()-Y 0.0111218409354335 0.00706792335008891 0.00737736483487513 0.00859890086855343 0.0066325199427027 0.00614190853229598
tBodyAccJerk-mean()-Z -0.00651602185163837 -0.00213094584065729 -0.00679203543068337 -0.00276246399332637 -0.00575161488179232 -0.00382223241314301
tBodyAccJerk-std()-X -0.65762325382482 -0.682639298681407 -0.576424959428935 -0.662149093616974 -0.589328029854132 -0.667197649931088
tBodyAccJerk-std()-Y -0.632202383690583 -0.656234569227119 -0.512386516608547 -0.648401058218775 -0.588946020164673 -0.612147545945589
tBodyAccJerk-std()-Z -0.743369174256363 -0.790457761638199 -0.730249849935404 -0.782434598013937 -0.769798778401849 -0.767478539514896
tBodyGyro-mean()-X -0.0200731019480506 -0.0214000577573742 -0.0282416520943284 -0.0396722236825639 -0.0442959940720128 -0.0373149590786192
tBodyGyro-mean()-Y -0.0819319299993467 -0.0765129474314001 -0.0776522380428174 -0.0676531704881179 -0.0730477273696536 -0.0693573657463601
tBodyGyro-mean()-Z 0.0873944133692284 0.0779415088840318 0.0868611369328437 0.0942085337587805 0.0962783612650711 0.0896653350347409
tBodyGyro-std()-X -0.716500554996656 -0.756287421424142 -0.682869630428332 -0.731858410394019 -0.701279496133713 -0.740255226985557
tBodyGyro-std()-Y -0.693165360954583 -0.695339982992825 -0.627841612247508 -0.690862954303659 -0.709078987667283 -0.689260802573633
tBodyGyro-std()-Z -0.673874039262665 -0.671164449778559 -0.617708642706506 -0.656922890258362 -0.642807181710626 -0.658725151079922
tBodyGyroJerk-mean()-X -0.100964217814491 -0.100323706848445 -0.0967473754128468 -0.0932929670937787 -0.0948833204088478 -0.0926180221682837
tBodyGyroJerk-mean()-Y -0.0400278153928673 -0.0432671577690146 -0.0429614952308867 -0.0438293311236585 -0.041399632547973 -0.0424661788351036
